bundesland,antraege,abschiebungen,afderststimme,antraegeRel,abschiebungenRel
Baden-Württemberg,84610,3646,12.2,11.7,14.5
Bayern,82003,3310,12.4,11.4,13.2
Berlin,27247,2027,12,3.8,8.1
Brandenburg,18112,570,20.2,2.5,2.3
Bremen,8771,76,10,1.2,0.3
Hamburg,17512,767,7.8,2.4,3.1
Hessen,65520,1723,11.9,9.1,6.9
Mecklenburg-Vorpommern,7273,817,18.6,1,3.3
Niedersachsen,83024,1908,9.1,11.5,7.6
Nordrhein-Westfalen,196734,5121,9.4,27.2,20.4
Rheinland-Pfalz,36985,909,11.2,5.1,3.6
Saarland,6865,216,10.1,1,0.9
Sachsen,23663,1814,27,3.3,7.2
Sachsen-Anhalt,19484,836,19.6,2.7,3.3
Schleswig-Holstein,28982,790,8.2,4,3.1
Thüringen,15422,569,22.7,2.1,2.3
