DZ_Nr,DZ_Name,Land_Nr,DTV_Kfz_MobisSo_Q,DTV_SV_MobisSo_Q,Koor_WGS84_N,Koor_WGS84_E
1101,Bad Oldesloe,1,,,53.79184164,10.42880292
1108,Bad Schwartau,1,71.787,6.002,53.89167750,10.67022940
1102,Barsbüttel,1,90.649,10.891,53.56327624,10.18046539
1105,Neustadt i. H.-Süd,1,27.475,2.603,54.10379261,10.78102643
1124,Oldenburg (Holstein),1,20.61,2.182,54.29984259,10.88208029
1291,Reinfeld,1,,,53.81730881,10.47593819
1106,Einfeld,1,,,54.12650335,9.95588047
1109,Ellund,1,19.822,4.846,54.77581197,9.34415168
1171,Hüsby,1,40.851,6.546,54.50569303,9.50378447
1173,Moorkaten,1,,,53.82129078,9.92315465
1107,Owschlag,1,44.53,7.051,54.39954906,9.64168640
1189,Schuby,1,38.392,6.485,54.54194184,9.47013667
1170,Neddelsteenhof,1,50.661,4.535,53.84402177,10.60573501
1156,AS Wankendorf (Stolpe),1,18.621,1.716,54.10258105,10.21283181
1166,Segeberg West 2,1,,,53.93627546,10.27721659
1270,Albersdorf,1,,,54.12230866,9.25723265
1163,Besdorf,1,19.941,1.48,54.06586059,9.33571564
1268,Hademarschen,1,20.358,1.461,54.05582153,9.37491140
1177,Heide West,1,11.071,853,54.19250920,9.04547548
1119,Krupunder,1,70.838,4.347,53.62633627,9.88156040
1154,Nordoe 4,1,,,53.89374021,9.51966347
1269,Schafstedt,1,18.569,1.404,54.07272227,9.29840230
1172,Glinde (SH),1,53.997,6.247,53.55776170,10.21717420
1110,Gudow,1,36.815,6.16,53.53488463,10.74230788
1140,Börnsen,1,30.395,2.011,53.46066868,10.28882899
1162,Melsdorf,1,30.16,1.546,54.30644474,10.02985175
1194,Kiel-West,1,69.755,3.139,54.31113751,10.07522369
1104,Rumohr,1,35.984,1.881,54.25022859,10.02715729
2218,AD HH-Südost (O),2,,,53.50736249,10.08496640
2217,AD HH-Südost (W),2,,,53.50801979,10.07388183
2223,AK HH-Süd Fbez. S<->O,2,,,53.50979124,10.04111413
2228,AD HH-Nordwest (N),2,,,53.61962454,9.91322508
2229,AD HH-Nordwest (S),2,,,53.61160829,9.91633827
2214,Elbtunnel,2,,,53.54196569,9.91780354
2230,AD HH-Nordwest (W),2,,,53.61810340,9.90826563
2219,AD HH-Südost,2,,,53.50483119,10.08220380
2227,AK HH-Süd Fbez. W<->N,2,,,53.51713257,10.02619234
2226,AK HH-Süd Fbez. W<->S/O,2,,,53.51708518,10.02595751
2216,Harburger Umgehung,2,,,53.47081881,9.99456989
2224,AK HH-Süd Fbez. N/W<->O,2,,,53.50975458,10.03722119
2225,AK HH-Süd Fbez. N/W<->S,2,,,53.50541312,10.03842637
3302,Bockel,3,68.446,13.18,53.19533776,9.28773550
3444,Dibbersen,3,57.712,8.835,53.37916596,9.96603250
3351,Glüsingen,3,106.626,14.585,53.41029356,10.02894790
3455,Groß Ippener,3,55.448,12.563,52.92122781,8.47952539
3309,Holdorf,3,,,52.60734693,8.12046792
3456,Uphusen,3,102.347,17.817,53.03604616,8.97084266
3421,Beienrode,3,,,52.29431976,10.87483047
3429,Braunschweig-Flughafen,3,,,52.31175867,10.58555448
3491,Dedensen,3,,,52.40234867,9.49755377
3492,Groß-Munzel,3,89.191,19.121,52.36465323,9.43989026
3490,Gümmer,3,,,52.41655247,9.52349373
3439,Hannover-Bothfeld,3,,,52.42730248,9.81989651
3433,Hannover-Ost,3,,,52.40196140,9.87073843
3494,Hattendorf,3,81.086,19.121,52.24351343,9.28514750
3489,Immensen,3,89.92,19.456,52.37384795,10.05086064
3305,Lauenau,3,82.719,19.147,52.29109533,9.36044904
3486,Meerdorf,3,84.045,18.772,52.33826201,10.32390521
3306,Peine,3,84.232,19.305,52.34394314,10.21456023
3487,Peine-Ost,3,75.538,17.406,52.33652326,10.24755182
3495,Rehren,3,77.181,18.9,52.21920060,9.15122231
3496,Rinteln,3,73.357,18.399,52.22031235,9.03837151
3485,Schwülper,3,86.195,19.313,52.32808636,10.46045840
3484,Watenbüttel,3,85.879,18.945,52.32264510,10.48310191
3438,Altwarmbüchen,3,72.942,13.116,52.42032360,9.89175771
3304,Berkhof,3,,,52.61381686,9.73516538
3301,Bispingen,3,59.809,9.673,53.14945814,10.03053220
4602,Düderode,3,52.22,9.609,51.81073275,10.09853101
3430,Göttingen,3,68.689,10.962,51.51708550,9.87866206
3308,Hildesheim,3,65.394,10.251,52.14701007,9.99526127
3437,Isernhagen,3,78.586,12.797,52.45778263,9.85977492
3431,Lutterberg,3,75.429,15.119,51.35028387,9.60603825
3440,Wülferode,3,61.249,10.467,52.32465681,9.86356907
3457,Agathenburg,3,18,1.458,53.54123197,9.57390359
3354,Nordholz,3,15.474,1.063,53.70646151,8.66353409
3343,Stotel,3,29.587,3.473,53.43558686,8.58155225
3303,Verden,3,41.659,6.282,52.94861888,9.25622498
3368,Filsum,3,24.719,3.032,53.25806903,7.58851231
3449,Haarentor,3,74.237,4.916,53.14665959,8.19261369
3315,Hasbruch,3,51.542,5.669,53.05716030,8.48809189
3452,Stuhr,3,52.559,7.12,53.01846663,8.69200685
3352,Oldenburg-Hafen,3,37.048,3.886,53.12814651,8.27589199
3451,Sande,3,28.517,1.627,53.47375389,8.01495887
3450,Wardenburg,3,25.451,,52.99122051,8.19936144
3349,Wemkendorf,3,,,53.26071591,8.16795102
3357,Gildehaus,3,20.117,6.429,52.31938977,7.05749653
3446,Melle,3,,,52.19326125,8.33515846
3445,Osnabrück-Hellern,3,73.112,11.383,52.24564804,8.02967234
3499,Salzbergen,3,35.793,9.14,52.33889944,7.32561528
3497,Emstunnel,3,26.819,3.013,53.23046110,7.39905669
3369,Lathen,3,16.1,1.778,52.87436720,7.22600398
3350,Riepe,3,21.825,1.739,53.36957822,7.32714979
3498,Schüttorf,3,28.971,4.421,52.32649840,7.25743804
3454,Wietmarschen,3,23.172,2.704,52.48200733,7.21127062
3447,Fledder,3,27.683,1.813,52.26372634,8.09915189
3448,Handorf,3,30.68,3.931,52.21771358,8.11070249
3436,Hannover-Kirchhorst,3,37.571,2.073,52.43053834,9.89423525
3435,Hannover-Misburg,3,,,52.40932565,9.83037066
3441,Laatzen,3,21.556,1.163,52.30592870,9.83087603
3432,Friedland,3,26.164,5.95,51.39876699,9.97852863
3335,Braunschweig,3,47.76,4.137,52.20789429,10.48773777
3428,Braunschweig-Südwest,3,76.497,5.221,52.23602563,10.51845330
3423,Scheppau,3,36.644,3.158,52.30302763,10.72462233
3442,Winsen,3,31.251,2.939,53.33279648,10.26158036
3422,Wolfsburg,3,,,52.42913938,10.73821259
3443,Tötensen,3,41.535,6.657,53.39347447,9.88680390
3358,Bunderneuland,3,10.674,1.526,53.18079333,7.22903026
3453,Oldenburg-Etzhorn,3,34.252,1.294,53.16995156,8.22245911
3434,Kaltenweide,3,47.235,5.016,52.47513600,9.71958824
3424,Braunschweig-Hansestraße,3,,,52.30524529,10.50965909
3425,Braunschweig-Weststadt,3,,,52.24747434,10.50596777
3426,Braunschweig-Ölper,3,22.912,523,52.28168669,10.51540801
3427,Flöthe,3,,,52.05451467,10.50620864
2411,HB-Mahndorfer See,4,105.939,19.399,53.02759694,8.94822839
2410,HB-Silbersee,4,99.325,17.676,53.02357124,8.80731667
2401,HB-Weserbrücke,4,120.301,19.173,53.03507153,8.87299414
2402,HB-Panrepel,4,60.615,5.3,53.04962725,8.97268501
